ticker,datetime,parsed_datetime,headline,url,article_text,row_number,date_inherited
A,Today 09:11AM,2025-05-30 09:11:00,"Company News for May 30, 2025",https://finviz.com/news/70321/company-news-for-may-30-2025,"Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days.Click to get this free report This article originally published on Zacks Investment Research (zacks.com). Zacks Investment Research Join thousands of traders who make more informed decisions with our premium features.
                                        Real-time quotes, advanced visualizations, backtesting, and much more.",1,False
A,May-29-25 04:23PM,2025-05-29 16:23:00,"These Stocks Moved the Most Today: Nvidia, Salesforce, HP Inc., Tesla, C3.ai, e.l.f. Beauty, Veeva, SentinelOne, Best Buy, and More",https://finance.yahoo.com/m/11b2237a-d596-3edb-bbbc-f65946d54add/these-stocks-moved-the-most.html,"Oops, something went wrong Nvidia’s first-quarter earnings top Wall Street estimates as data-center revenue surges 73%, and Tesla rises as CEO Elon Musk ends his work for the Trump administration. Sign in to access your portfolio",2,False
A,02:49PM,2025-05-30 14:49:00,"These Stocks Are Moving the Most Today: Nvidia, Salesforce, HP Inc., Tesla, C3.ai, e.l.f. Beauty, Veeva, SentinelOne, Best Buy, and More",https://finance.yahoo.com/m/11b2237a-d596-3edb-bbbc-f65946d54add/these-stocks-are-moving-the.html,"Oops, something went wrong Nvidia’s first-quarter earnings top Wall Street estimates as data-center revenue surges 73%, and Tesla rises as CEO Elon Musk ends his work for the Trump administration. Sign in to access your portfolio",3,False
A,10:13AM,2025-05-30 10:13:00,"Agilent Q2 Earnings Beat Estimates, Revenues Up Y/Y, Shares Rise",https://finviz.com/news/69252/agilent-q2-earnings-beat-estimates-revenues-up-yy-shares-rise,"Agilent TechnologiesA reported second-quarter fiscal 2025 earnings of $1.31 per share, which beat the Zacks Consensus Estimate by 3.97%. The figure increased 7.4% year over year.Revenues of $1.67 billion surpassed the Zacks Consensus Estimate by 2.64%. The top line increased 6% on a reported basis and 5.3% on a core basis from the year-ago quarter.This growth was driven by sustained improvements in Pharmaceuticals and increased demand across Diagnostics and Clinical, Food, and Environmental and Forensics markets.After the results were announced, shares of Agilent gained 4.71% in after-hours trading.  Agilent Technologies, Inc. price-consensus-eps-surprise-chart | Agilent Technologies, Inc. Quote The company now operates through three reporting segments—Life Sciences and Diagnostics Markets Group (“LDG”), Agilent CrossLab Group (“ACG”) and Applied Markets Group (“AMG”).LDG: The segment generated $654 million or 39.2% of the company’s total revenues. This represented an 8% increase on a reported basis and a 3% rise on a core basis compared with the prior-year quarter. Growth was driven by strong performance in LC and LCMS instruments.ACG: Revenues from the segment were $713 million, accounting for 42.7% of the total revenues. The top line grew 7% on a reported basis and 9% on a core basis compared with the prior-year quarter. This was led by double-digit growth in automation and consumables and high single-digit growth in services.AMG: Revenues decreased 1% year over year on a reported and flat on a core basis to $301 million, accounting for the remaining 18% of the total revenues. Growth in spectroscopy and GCMS was offset by timing-related declines in gas chromatography and challenges in China. For the second quarter of fiscal 2025, the gross margin in the LDG segment contracted 230 basis points (bps) to 52.8% from the prior-year quarter. ACG’s gross margin decreased 110 bps to 55.5%, while AMG’s gross margin declined 70 bps year over year to 53.5%.Research and development (R&D) expenses on a non-GAAP basis were $109 million, down 3.5% from the prior-year quarter.Selling, general and administrative (SG&A) expenses on a non-GAAP basis rose slightly to $374 million, marking a 2.2% increase from the prior-year quarter.As a percentage of revenues, R&D expenses fell 60 bps year over year to 6.5%, while SG&A expenses fell 80 bps year over year to 22.4%.The non-GAAP operating margin of 25.1% for the fiscal second quarter of 2025 was in line with the prior year.Segment-wise, the operating margin in the LDG segment increased 70 bps to 19.7% from the prior-year quarter. ACG’s operating margin fell 10 bps year over year to 32.4%. Meanwhile, AMG’s operating margin contracted 140 bps year over year to 19.5%. As of April 30, 2025, Agilent’s cash and cash equivalents were $1.49 billion, up from $1.47 billion as of Jan. 31, 2025. Accounts receivables were $1.36 billion at the end of the second quarter of fiscal 2025 compared with $1.33 billion at the end of the fiscal first quarter.The long-term debt was $3.349 billion for the reported quarter compared with $3.347 billion in the prior quarter.Cash flow from operating activities was $652 million in the second quarter of fiscal 2025 compared with $431 million in the previous quarter. For the third quarter of fiscal 2025, management expects revenues of $1.645-$1.675 billion, indicating a rise of 4.2% to 6.1% on a reported basis and up 1.7% to 3.6% on a core basis.Non-GAAP fiscal third-quarter earnings per share are expected to be in the range of $1.35-$1.37.For fiscal 2025, management revised its revenue guidance from $6.68-$6.76 billion to $6.73-$6.81 billion, implying an increase of 3.4-4.6% on a reported basis and 2.5-3.5% on a core basis.The company reaffirmed its fiscal 2025 non-GAAP earnings per share guidance at $5.54-$5.61. (Find the latest EPS estimates and surprises on Zacks Earnings Calendar.) Currently, Agilent carries a Zacks Rank #3 (Hold).AmphenolAPH,Juniper NetworksJNPR andUpworkUPWK are some better-ranked stocks that investors can consider in the broader Zacks Computer & Technology sector. APH, JNPR and UPWK sport a Zacks Rank #1 (Strong Buy) at present. You can seethe complete list of today’s Zacks #1 Rank stocks here.APH shares have gained 26.9% in the year-to-date period. The Zacks Consensus Estimate for APH’s full-year 2025 earnings is pegged at $2.66 per share, up by 8 cents over the past 30 days, suggesting growth of 40.74% from the year-ago quarter’s reported figure.JNPR shares have lost 4.1% in the year-to-date period. The Zacks Consensus Estimate for JNPR’s full-year fiscal 2025 earnings has been revised upward to $2.09 in the past 30 days, suggesting year-over-year growth of 21.51%.UPWK shares have lost 4.6% in the year-to-date period. The Zacks Consensus Estimate for UPWK’s full-year 2025 earnings is pegged at $1.14 per share, implying a rise of 9.62% from the year-ago quarter’s levels. Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days.Click to get this free report This article originally published on Zacks Investment Research (zacks.com). Zacks Investment Research Join thousands of traders who make more informed decisions with our premium features.
                                        Real-time quotes, advanced visualizations, backtesting, and much more.",4,False
A,09:21AM,2025-05-30 09:21:00,"Agilent Braces For Potential US-EU Tariff Hike, Maintains Annual Outlook",https://finance.yahoo.com/news/agilent-braces-potential-us-eu-132110199.html,"Oops, something went wrong Agilent Technologies Inc.(NYSE:A) reportedsecond-quarter 2025sales of $1.67 billion on Wednesday, almost in line with theconsensus of $1.63 billion, representing growth of 6% reported and up 5.3% core year-over-year. The Life Sciences and Diagnostics Markets Group (LDG) reported second-quarter revenue of $654 million, an increase of 8% reported and 3% core year-over-year. LDG’s operating margin for the quarter was 19.7%. The Agilent CrossLab Group (ACG) reported second-quarter revenue of $713 million, an increase of 7% reported and 9% core year-over-year. ACG’s operating margin for the quarter was 32.4%. The Applied Markets Group (AMG) reported second-quarter revenue of $301 million, a decrease of 1% reported and flat core year-over-year. AMG’s operating margin for the quarter was 19.5%. Also Read:Rocket Pharma’s Gene Therapy Future Clouded By Regulatory Uncertainty Theanalytical and clinical laboratorytechnologies provider reported adjusted earnings of $1.31 per share, up from $1.22 a year ago, beating the consensus of $1.26. “The Agilent team delivered strong second-quarter results in a highly dynamic market environment,” said Agilent President and CEOPadraig McDonnell. “That is in large part due to our Ignite Transformation, which is driving our financial success as it’s become our core enterprise delivery engine and operating model. Ignite represents a decisive shift to fuel accelerated profitable growth and operational excellence at Agilent.” The company’s operating marginwas25.1% as it absorbed some incremental tariff costs. In the earnings conference call, McDonnell said, “Through our tariff task force enabled by our Ignite operating model, we feel that we are able to mitigate most of the impact in 2025 and fully mitigate in 2026 even when considering recent developments on the U.S.-EU tariffs.” Agilent reaffirmed fiscal 2025 adjusted earnings of $5.54-$5.61 per share compared to the consensus of $5.55. The company raised sales guidance from $6.68 billion-$6.76 billion to $6.73 billion-$6.81 billion compared to the consensus of $6.73 billion. The full-year revenue outlook represents growth of 3.4%-4.6% reported while maintaining core growth of 2.5%-3.5% Based on the current tariff rates, Agilent estimates that the gross incremental tariff exposure in the second half will be $50 million. This is on top of the roughly $10 million already absorbed in the first half. The company anticipates potential additional tariff impacts if U.S.-EU tariffs increase, which could add $40 million in gross exposure in the second half of 2025. The outlook for third-quarter revenue is expected to be $1.65 billion-$1.68 billion versus a consensus of $1.65 billion, representing a growth of 4.2% to 6.1% reported and up 1.7% to 3.6% core. Agilent sees Q3 adjusted earnings of $1.35-$1.37 versus a consensus of $1.39. Price Action:A stock is trading higher by 5.52% to $117 premarket at last check Thursday. Read Next: Elon Musk’s Neuralink Hits $9 Billion Valuation With New Funding Image via Shutterstock UNLOCKED: 5 NEW TRADES EVERY WEEK.Click now to get top trade ideas daily, plus unlimited access to cutting-edge tools and strategies to gain an edge in the markets. Get the latest stock analysis from Benzinga? AGILENT TECHNOLOGIES (A): Free Stock Analysis Report This articleAgilent Braces For Potential US-EU Tariff Hike, Maintains Annual Outlookoriginally appeared onBenzinga.com © 2025 Benzinga.com. Benzinga does not provide investment advice. All rights reserved. Sign in to access your portfolio",5,False
A,09:15AM,2025-05-30 09:15:00,"A Q2 Earnings Call: Mixed Revenue Performance, Margin Pressure, and Strategic Updates",https://finviz.com/news/69568/a-q2-earnings-call-mixed-revenue-performance-margin-pressure-and-strategic-updates," Life sciences tools company Agilent Technologies (NYSE:A)fell short of the market’s revenue expectationsin Q1 CY2025, but sales rose 6% year on year to $1.67 billion. Its non-GAAP EPS of $1.31 per share was 3.6% above analysts’ consensus estimates. Is now the time to buy A?Find out in our full research report (it’s free). Agilent’s second quarter results reflected broad-based growth across most end markets and geographies, with particular strength in China, India, and environmental testing. CEO Padraig McDonnell attributed the 6% year-on-year revenue growth to stable demand for core instruments, continued recovery in the biopharma segment, and robust performance in pathology and PFAS (per- and polyfluoroalkyl substances) testing. Management also highlighted progress in its digital ecosystem, noting a 12% increase in digital orders, and pointed to operational changes—including the Ignite transformation initiative—that drove early wins in pricing and procurement. While most end markets performed as expected, academia and government remained soft, and management described the macroeconomic and geopolitical environment as “highly dynamic,” underscoring ongoing uncertainty. Looking forward, Agilent’s guidance is shaped by ongoing tariff risks, a cautious approach to macroeconomic uncertainty, and confidence in its operational initiatives. Management maintained its full-year core growth and adjusted EPS outlook, citing the ability to offset incremental tariff costs through supply chain adjustments, pricing, and Ignite-driven efficiencies. CFO Bob McMahon noted, “A combination of supply chain moves, surcharges, and savings will allow us to fully mitigate tariff costs by next year.” The company expects continued momentum in PFAS testing, accelerating growth in its CDMO (contract development and manufacturing organization) segment, and further gains from newly launched products such as the Infinity III LC system and Seahorse XF Flex analyzer. However, management cautioned that near-term growth may be uneven given the dynamic external environment and timing of customer orders. Management pointed to diverse geographic and product performance, with China and environmental testing outpacing expectations, while transformative operational initiatives helped offset mounting tariff pressures. Agilent’s outlook for the coming quarters hinges on successful tariff mitigation, continued product innovation, and steady demand in core end markets, balanced against macroeconomic uncertainty. In the coming quarters, the StockStory team will watch for (1) sustained momentum in PFAS testing and CDMO segment order growth, (2) evidence that Ignite-driven cost savings and pricing actions are offsetting tariff impacts and supporting margin stability, and (3) the pace of customer adoption for new instruments like the Infinity III LC system. Progress in these areas will be key to tracking Agilent’s ability to navigate external headwinds and deliver on its operational commitments. Agilent currently trades at a forward P/E ratio of 19.1×. Is the company at an inflection point that warrants a buy or sell?The answer lies in our full research report (it’s free). The market surged in 2024 and reached record highs after Donald Trump’s presidential victory in November, but questions about new economic policies are adding much uncertainty for 2025. While the crowd speculates what might happen next, we’re homing in on the companies that can succeed regardless of the political or macroeconomic environment. 
Put yourself in the driver’s seat and build a durable portfolio by checking out ourTop 9 Market-Beating Stocks. This is a curated list of ourHigh Qualitystocks that have generated a market-beating return of 183% over the last five years (as of March 31st 2025). Stocks that made our list in 2020 include now familiar names such as Nvidia (+1,545% between March 2020 and March 2025) as well as under-the-radar businesses like the once-small-cap company Exlservice (+354% five-year return).Find your next big winner with StockStory today. Join thousands of traders who make more informed decisions with our premium features.
                                        Real-time quotes, advanced visualizations, backtesting, and much more.",7,False
A,03:04AM,2025-05-30 03:04:00,Agilent Technologies Inc (A) Q2 2025 Earnings Call Highlights: Strong Revenue Growth Amid ...,https://finance.yahoo.com/news/agilent-technologies-inc-q2-2025-070438457.html,"Oops, something went wrong Revenue:$1.67 billion, representing 6% reported growth and 5.3% core growth year-over-year. Operating Margin:25.1%, absorbing incremental tariff costs. Earnings Per Share (EPS):$1.31, a 7% increase compared to the second quarter of 2024. Gross Margin:54.1%, impacted by tariffs, currency, and product mix. Agilent CrossLab Group Revenue:$713 million, 9% growth driven by consumables and automation. Life Sciences and Diagnostics Market Group Revenue:$654 million, 3% growth with strong performance in Pathology and NASD. Applied Markets Group Revenue:$301 million, flat on a core growth basis. Cash Flow from Operations:$221 million. Capital Expenditures:$114 million. Share Repurchases:$165 million. Dividends Paid:$70 million. Net Leverage Ratio:1. Full Year Revenue Guidance:Increased to $6.73 billion to $6.81 billion, reflecting a 3.4% to 4.6% reported growth. Full Year EPS Guidance:$5.54 to $5.61, representing a 4.7% to 6% increase year-over-year. Tariff Impact:$50 million gross incremental exposure in the second half of fiscal year 2025, with mitigation strategies in place. Warning! GuruFocus has detected 5 Warning Sign with SQM. Release Date: May 28, 2025 For the complete transcript of the earnings call, please refer to thefull earnings call transcript. Agilent Technologies Inc (NYSE:A) reported strong second-quarter results with revenue of $1.67 billion, representing a 6% increase year-over-year. The company achieved an operating margin of 25.1% despite absorbing incremental tariff costs. Agilent's EPS grew by 7% compared to the second quarter of 2024, marking the fourth consecutive quarter of accelerating growth. The company saw growth across all regions, with China leading at 10% growth, and strong performance in India with high teens growth. Agilent's PFAS testing business grew more than 70% year-over-year globally, contributing significantly to the company's growth. The academia and government end market declined modestly, with a 2% decrease in the quarter. Biopharma growth was slower, with low single-digit growth due to funding challenges in small and midsized biotech, primarily in the US. The company faced a mid-single-digit decline in its NGS business. Agilent had to absorb 55 basis points of incremental tariff costs, impacting gross margins. The company anticipates potential additional tariff impacts if US-EU tariffs increase, which could add $40 million in gross exposure in the second half of the year. Q: Can you provide insights into the order trends during the quarter, especially considering the impact of pharma tariffs?A: Padraig McDonnell, CEO, explained that the book-to-bill ratio was greater than one, with orders growing low single digits in Q2 and mid-single digits for the first half. There was no significant pull forward from pharma, and the business remained stable across regions. The consumables pull forward was offset by customs issues, which have now normalized. Q: How did the NASD and BIOVECTRA businesses perform, and what are the expectations for the rest of the year?A: Padraig McDonnell, CEO, and Simon May, President of Life Sciences and Diagnostics Markets Group, noted high single-digit growth for NASD and high teens for BIOVECTRA. The businesses are well-positioned in advanced therapeutic modalities, with a clear line of sight to double-digit growth for NASD in the second half of the year. Q: What was the impact of the $15 million consumables pull forward in China, and how does it affect future quarters?A: Robert McMahon, CFO, explained that the pull forward was due to high tariff rates in China, leading to stocking of orders. This was offset by longer customs processing times for instruments. The overall revenue impact was neutral for Q2, and the situation is expected to normalize in Q3. Q: Can you discuss the impact of PFAS testing demand and its future prospects?A: Padraig McDonnell, CEO, highlighted a 75% year-over-year growth in PFAS testing, driven by strong demand in Europe and China. The market is expected to expand into industrial-based testing and volatile PFAS, with significant growth potential in the coming years. Q: How is the replacement cycle for the Infinity III LC systems progressing, and what is the outlook for GC systems?A: Padraig McDonnell, CEO, reported strong adoption and customer feedback for the Infinity III, with a growing order funnel and higher service and consumables attach rates. Mike Zhang, President of Applied Markets Group, noted significant opportunities in the GC and GC/MS replacement cycle, supported by new innovations and a large installed base. For the complete transcript of the earnings call, please refer to thefull earnings call transcript. This article first appeared onGuruFocus. Sign in to access your portfolio",8,False
A,May-28-25 11:22PM,2025-05-28 23:22:00,"Analyst Report: Agilent Technologies, Inc.",https://finance.yahoo.com/m/2e7f72c1-6bab-36b8-acd5-86ac862dde0c/analyst-report%3A-agilent.html,"Oops, something went wrong Originally spun out of Hewlett-Packard in 1999, Agilent has evolved into a leading life science and diagnostic firm. Today, Agilent's measurement technologies serve a broad base of customers with its three operating segments: life science and applied tools, cross lab consisting of consumables and services related to life science and applied tools, and diagnostics and genomics. Over half of its sales are generated from the biopharmaceutical, chemical, and advanced materials end markets, which we view as the stickiest end markets, but it also supports clinical lab, environmental, forensics, food, academic, and government-related organizations. The company is geographically diverse, with operations in the US and China representing the largest country concentrations. Sign in to access your portfolio",9,False
A,05:32PM,2025-05-30 17:32:00,Agilent Stock Gains as Earnings Surprise Despite Research Funding Cuts,https://finance.yahoo.com/m/a76e45f6-3012-30fb-b400-2482e4fa2f62/agilent-stock-gains-as.html,"Oops, something went wrong Rivals of the lab tools and testing company have been buffeted by the Trump administration’s disruptions to funding to U.S. academic labs. Sign in to access your portfolio",10,False
A,05:30PM,2025-05-30 17:30:00,Here's What Key Metrics Tell Us About Agilent (A) Q2 Earnings,https://finviz.com/news/68490/heres-what-key-metrics-tell-us-about-agilent-a-q2-earnings,"For the quarter ended April 2025, Agilent Technologies (A) reported revenue of $1.67 billion, up 6% over the same period last year. EPS came in at $1.31, compared to $1.22 in the year-ago quarter. The reported revenue compares to the Zacks Consensus Estimate of $1.63 billion, representing a surprise of +2.64%. The company delivered an EPS surprise of +3.97%, with the consensus EPS estimate being $1.26. While investors scrutinize revenue and earnings changes year-over-year and how they compare with Wall Street expectations to determine their next move, some key metrics always offer a more accurate picture of a company's financial health. Since these metrics play a crucial role in driving the top- and bottom-line numbers, comparing them with the year-ago numbers and what analysts estimated about them helps investors better project a stock's price performance. Here is how Agilent performed in the just reported quarter in terms of the metrics most widely monitored and projected by Wall Street analysts:  Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days.Click to get this free report This article originally published on Zacks Investment Research (zacks.com). Zacks Investment Research Join thousands of traders who make more informed decisions with our premium features.
                                        Real-time quotes, advanced visualizations, backtesting, and much more.",11,False
